date,sales
2023-03-25,288.82
2023-03-26,287.47
2023-03-27,313.3
2023-03-28,339.34
2023-03-29,324.0
2023-03-30,328.28
2023-03-31,300.76
2023-04-01,287.49
2023-04-02,298.37
2023-04-03,304.88
2023-04-04,325.47
2023-04-05,323.01
2023-04-06,343.93
2023-04-07,307.38
2023-04-08,289.3
2023-04-09,302.38
2023-04-10,314.82
2023-04-11,329.43
2023-04-12,341.69
2023-04-13,332.33
2023-04-14,302.12
2023-04-15,290.85
2023-04-16,297.72
2023-04-17,293.07
2023-04-18,316.55
2023-04-19,349.2
2023-04-20,341.11
2023-04-21,304.75
2023-04-22,302.12
2023-04-23,303.24
2023-04-24,346.47
2023-04-25,342.41
2023-04-26,333.68
2023-04-27,314.46
2023-04-28,290.45
2023-04-29,297.59
2023-04-30,291.69
2023-05-01,300.5
2023-05-02,323.72
2023-05-03,323.04
2023-05-04,339.71
2023-05-05,314.09
2023-05-06,294.16
2023-05-07,312.67
2023-05-08,314.04
2023-05-09,320.05
2023-05-10,347.49
2023-05-11,326.57
2023-05-12,293.17
2023-05-13,290.54
2023-05-14,287.25
2023-05-15,297.52
2023-05-16,335.93
2023-05-17,349.31
2023-05-18,305.08
2023-05-19,307.0
2023-05-20,283.7
2023-05-21,288.85
2023-05-22,303.07
2023-05-23,315.63
2023-05-24,328.24
2023-05-25,308.24
2023-05-26,301.51
2023-05-27,287.09
2023-05-28,288.66
2023-05-29,297.2
2023-05-30,315.73
2023-05-31,332.49
2023-06-01,318.7
2023-06-02,286.12
2023-06-03,285.63
2023-06-04,295.57
2023-06-05,286.55
2023-06-06,323.86
2023-06-07,315.2
2023-06-08,316.24
2023-06-09,285.08
2023-06-10,263.36
2023-06-11,268.52
2023-06-12,300.43
2023-06-13,317.7
2023-06-14,309.43
2023-06-15,313.54
2023-06-16,272.69
2023-06-17,277.32
2023-06-18,269.23
2023-06-19,289.95
2023-06-20,312.07
2023-06-21,306.34
2023-06-22,299.76
2023-06-23,295.8
2023-06-24,268.63
2023-06-25,286.1
2023-06-26,281.56
2023-06-27,313.27
2023-06-28,325.73
2023-06-29,275.25
2023-06-30,274.12
2023-07-01,276.52
2023-07-02,272.05
2023-07-03,292.91
2023-07-04,298.27
2023-07-05,308.52
2023-07-06,294.75
2023-07-07,290.11
2023-07-08,269.63
2023-07-09,273.81
2023-07-10,281.43
2023-07-11,295.8
2023-07-12,299.69
2023-07-13,296.63
2023-07-14,270.61
2023-07-15,266.39
2023-07-16,287.61
2023-07-17,290.7
2023-07-18,293.87
2023-07-19,312.51
2023-07-20,285.1
2023-07-21,250.96
2023-07-22,249.96
2023-07-23,244.71
2023-07-24,275.06
2023-07-25,293.93
2023-07-26,313.91
2023-07-27,289.13
2023-07-28,265.86
2023-07-29,265.07
2023-07-30,238.08
2023-07-31,277.75
2023-08-01,298.3
2023-08-02,279.24
2023-08-03,294.22
2023-08-04,268.4
2023-08-05,249.63
2023-08-06,263.57
2023-08-07,295.19
2023-08-08,289.55
2023-08-09,293.69
2023-08-10,275.42
2023-08-11,253.79
2023-08-12,259.42
2023-08-13,246.06
2023-08-14,270.63
2023-08-15,280.44
2023-08-16,293.54
2023-08-17,280.95
2023-08-18,270.32
2023-08-19,243.72
2023-08-20,249.69
2023-08-21,257.96
2023-08-22,278.66
2023-08-23,290.47
2023-08-24,283.19
2023-08-25,248.8
2023-08-26,255.66
2023-08-27,264.15
2023-08-28,270.15
2023-08-29,300.21
2023-08-30,277.37
2023-08-31,261.65
2023-09-01,238.78
2023-09-02,260.54
2023-09-03,255.82
2023-09-04,264.21
2023-09-05,283.07
2023-09-06,272.75
2023-09-07,297.53
2023-09-08,256.91
2023-09-09,245.79
2023-09-10,255.74
2023-09-11,268.86
2023-09-12,281.86
2023-09-13,275.53
2023-09-14,277.29
2023-09-15,274.02
2023-09-16,257.82
2023-09-17,264.15
2023-09-18,258.76
2023-09-19,269.63
2023-09-20,282.16
2023-09-21,273.2
2023-09-22,266.28
2023-09-23,227.66
2023-09-24,263.83
2023-09-25,262.68
2023-09-26,275.73
2023-09-27,273.85
2023-09-28,256.73
2023-09-29,264.29
2023-09-30,246.12
2023-10-01,236.51
2023-10-02,252.27
2023-10-03,277.69
2023-10-04,301.79
2023-10-05,271.9
2023-10-06,242.33
2023-10-07,244.31
2023-10-08,248.15
2023-10-09,239.8
2023-10-10,282.13
2023-10-11,284.51
2023-10-12,283.25
2023-10-13,277.72
2023-10-14,259.99
2023-10-15,250.23
2023-10-16,257.82
2023-10-17,310.61
2023-10-18,289.69
2023-10-19,278.79
2023-10-20,261.44
2023-10-21,253.23
2023-10-22,254.07
2023-10-23,265.83
2023-10-24,282.17
2023-10-25,291.61
2023-10-26,276.13
2023-10-27,257.54
2023-10-28,255.38
2023-10-29,256.11
2023-10-30,289.83
2023-10-31,264.42
2023-11-01,306.22
2023-11-02,297.46
2023-11-03,247.45
2023-11-04,254.48
2023-11-05,258.6
2023-11-06,264.44
2023-11-07,286.95
2023-11-08,288.06
2023-11-09,306.46
2023-11-10,281.54
2023-11-11,274.68
2023-11-12,273.67
2023-11-13,271.42
2023-11-14,293.74
2023-11-15,308.38
2023-11-16,281.1
2023-11-17,283.76
2023-11-18,264.07
2023-11-19,267.27
2023-11-20,294.45
2023-11-21,308.11
2023-11-22,304.62
2023-11-23,309.71
2023-11-24,270.66
2023-11-25,277.53
2023-11-26,281.9
2023-11-27,289.24
2023-11-28,311.98
2023-11-29,300.81
2023-11-30,312.5
2023-12-01,284.82
2023-12-02,271.38
2023-12-03,291.73
2023-12-04,290.61
2023-12-05,299.99
2023-12-06,303.16
2023-12-07,314.76
2023-12-08,279.34
2023-12-09,299.67
2023-12-10,265.97
2023-12-11,320.2
2023-12-12,321.8
2023-12-13,323.4
2023-12-14,308.92
2023-12-15,301.83
2023-12-16,287.47
2023-12-17,303.58
2023-12-18,310.16
2023-12-19,326.99
2023-12-20,326.56
2023-12-21,319.64
2023-12-22,306.78
2023-12-23,276.62
2023-12-24,284.95
2023-12-25,322.35
2023-12-26,333.12
2023-12-27,334.28
2023-12-28,326.34
2023-12-29,313.12
2023-12-30,294.28
2023-12-31,296.61
2024-01-01,322.84
2024-01-02,327.59
2024-01-03,346.17
2024-01-04,315.1
2024-01-05,325.91
2024-01-06,310.37
2024-01-07,312.92
2024-01-08,336.67
2024-01-09,359.98
2024-01-10,358.17
2024-01-11,319.64
2024-01-12,308.74
2024-01-13,305.3
2024-01-14,316.51
2024-01-15,337.89
2024-01-16,341.92
2024-01-17,355.74
2024-01-18,336.32
2024-01-19,321.22
2024-01-20,303.26
2024-01-21,312.77
2024-01-22,324.93
2024-01-23,345.12
2024-01-24,370.08
2024-01-25,340.02
2024-01-26,359.27
2024-01-27,327.84
2024-01-28,329.4
2024-01-29,335.37
2024-01-30,367.36
2024-01-31,359.23
2024-02-01,356.14
2024-02-02,363.91
2024-02-03,327.27
2024-02-04,344.32
2024-02-05,342.16
2024-02-06,365.2
2024-02-07,387.84
2024-02-08,353.74
2024-02-09,361.48
2024-02-10,340.31
2024-02-11,332.15
2024-02-12,360.41
2024-02-13,380.12
2024-02-14,381.14
2024-02-15,349.05
2024-02-16,340.77
2024-02-17,335.38
2024-02-18,341.6
2024-02-19,364.8
2024-02-20,376.62
2024-02-21,365.95
2024-02-22,372.88
2024-02-23,358.41
2024-02-24,347.65
2024-02-25,357.28
2024-02-26,371.0
2024-02-27,383.44
2024-02-28,382.54
2024-02-29,356.33
2024-03-01,360.39
2024-03-02,347.86
2024-03-03,352.85
2024-03-04,353.48
2024-03-05,371.55
2024-03-06,397.21
2024-03-07,375.91
2024-03-08,366.21
2024-03-09,349.28
2024-03-10,353.57
2024-03-11,378.7
2024-03-12,380.19
2024-03-13,390.55
2024-03-14,374.52
2024-03-15,357.8
2024-03-16,348.59
2024-03-17,358.1
2024-03-18,367.05
2024-03-19,400.35
2024-03-20,383.01
2024-03-21,379.56
2024-03-22,359.95
2024-03-23,368.27
2024-03-24,359.88
2024-03-25,384.12
2024-03-26,374.81
2024-03-27,396.42
2024-03-28,392.03
2024-03-29,366.8
2024-03-30,366.0
2024-03-31,354.21
2024-04-01,389.27
2024-04-02,413.95
2024-04-03,391.34
2024-04-04,379.81
2024-04-05,381.56
2024-04-06,372.11
2024-04-07,355.03
2024-04-08,371.78
2024-04-09,388.86
2024-04-10,382.15
2024-04-11,375.64
2024-04-12,357.46
2024-04-13,349.02
2024-04-14,360.22
2024-04-15,378.55
2024-04-16,407.33
2024-04-17,385.68
2024-04-18,394.65
2024-04-19,365.26
2024-04-20,356.03
2024-04-21,367.06
2024-04-22,364.64
2024-04-23,395.24
2024-04-24,396.83
2024-04-25,389.16
2024-04-26,369.65
2024-04-27,380.35
2024-04-28,353.14
2024-04-29,369.68
2024-04-30,384.23
2024-05-01,388.59
2024-05-02,376.76
2024-05-03,377.47
2024-05-04,368.76
2024-05-05,352.49
2024-05-06,365.28
2024-05-07,393.72
2024-05-08,387.1
2024-05-09,387.87
2024-05-10,365.95
2024-05-11,337.67
2024-05-12,371.88
2024-05-13,389.7
2024-05-14,380.95
2024-05-15,386.75
2024-05-16,382.35
2024-05-17,365.15
2024-05-18,357.24
2024-05-19,374.27
2024-05-20,367.69
2024-05-21,376.75
2024-05-22,374.43
2024-05-23,369.72
2024-05-24,358.96
2024-05-25,366.03
2024-05-26,346.38
2024-05-27,369.02
2024-05-28,381.85
2024-05-29,397.34
2024-05-30,399.49
2024-05-31,351.12
2024-06-01,340.28
2024-06-02,359.04
2024-06-03,370.61
2024-06-04,397.44
2024-06-05,388.22
2024-06-06,367.51
2024-06-07,359.19
2024-06-08,353.07
2024-06-09,353.58
2024-06-10,365.6
2024-06-11,386.35
2024-06-12,390.75
2024-06-13,381.57
2024-06-14,356.38
2024-06-15,336.91
2024-06-16,343.41
2024-06-17,369.14
2024-06-18,364.03
2024-06-19,379.24
2024-06-20,360.29
2024-06-21,346.64
2024-06-22,347.8
2024-06-23,340.27
2024-06-24,353.94
2024-06-25,355.0
2024-06-26,379.4
2024-06-27,367.05
2024-06-28,364.35
2024-06-29,328.29
2024-06-30,336.9
